Vengeful Ghost
Creepy Doll
Ancient Vampire
Ravenous Werewolf
Possessed Child
Faceless Entity
Haunted Painting
Cursed Mummy
Sinister Clown
Mad Scientist
Zombie Horde
Shadowy Figure
Demonic Possessor
Unearthly Alien
Cannibalistic Butcher
Bloodthirsty Siren
Grotesque Monster
Grinning Demon
Skeletal Reaper
Mutant Creature
Enigmatic Witch
Ghastly Apparition
Maniacal Serial Killer
Tortured Soul
Malevolent Poltergeist
Shapeshifting Beast
Whispering Phantom
Eerie Scarecrow
Lurking Kraken
Abominable Snowman
Chilling Banshee
Ghoulish Zombie
Petrifying Gorgon
Monstrous Troll
Fanged Nosferatu
Slithering Serpent
Howling Beast
Gruesome Ghoul
Infernal Fiend
Stalking Wraith
Crawling Arachnid
Savage Minotaur
Decaying Corpse
Terrifying Harpy
Nightmarish Incubus
Eldritch Horror
Unholy Specter
Raging Cyclops
Sinister Warlock
Ominous Bogeyman
