Moon Fox, mystical nocturnal hunter
Glowworm Griffin, radiant winged predator
Shadow Panther, stealthy night stalker
Dreamweaver Dragonfly, iridescent insectoid guardian
Elder Wyrm, ancient serpent king
Ghostly Hound, ethereal tracker
Mythic Manticore, mythical lion-like creature
Luminous Lemurian, radiating energy being
Celestial Stag, majestic antlered spirit
Forest Fae Cat, mystical feline companion
Gossamer Butterfly, delicate winged messenger
Ethereal Owl, wispy nocturnal wisdom seeker
Crystal Phoenix, rebirth symbolizer
Moonlit Wolf, lunar pack leader
Illusion Beast, shape-shifting predator
Rainbow Serpent, multicolored serpent guide
Aurora Hare, shimmering dawn creature
Midnight Raccoon, mysterious night forager
Whispering Wildcat, soft padded pounce hunter
Starlight Steed, celestial mount companion
Forest Fiend, forest demon protector
Nightshade Squirrel, shadowy arboreal thief
Skybound Bat, aerial vigilante
Enchanted Elk, magical woodland wanderer
Glowing Gopher, radiant subterranean burrower
Silent Shadowcat, stealthy nocturnal hunter
Spectral Wolfpack, ghostly lunar pack leader
Mystic Mongoose, cunning clever thief
Golden Griffin, regal winged protector
Moonlit Moose, lunar
